 Pressure tensor from virial route using IK-VR1 definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 11.9704         0.0000           -27.5299             0.0000           -27.5299          -105.8483             0.0000          -105.8483
 11.9804         0.0000           -27.5497             0.0000           -27.5497          -105.8469             0.0000          -105.8469
 11.9904         0.0000           -27.5438             0.0000           -27.5438          -105.8473             0.0000          -105.8473
 12.0004         0.0000           -27.5406             0.0000           -27.5406          -105.9204             0.0000          -105.9204
 12.0104         0.0000           -27.5512             0.0000           -27.5512          -105.9060             0.0000          -105.9060
 12.0204         0.0000           -27.5457             0.0000           -27.5457          -105.8777             0.0000          -105.8777
 12.0304         0.0000           -27.5385             0.0000           -27.5385          -105.8753             0.0000          -105.8753
 12.0404         0.0000           -27.5488             0.0000           -27.5488          -105.8761             0.0000          -105.8761
 12.0504         0.0000           -27.5506             0.0000           -27.5506          -105.8883             0.0000          -105.8883
 12.0604         0.0000           -27.5571             0.0000           -27.5571          -105.8863             0.0000          -105.8863
 12.0704         0.0000           -27.5684             0.0000           -27.5684          -105.8975             0.0000          -105.8975
 12.0804         0.0000           -27.5719             0.0000           -27.5719          -105.8713             0.0000          -105.8713
 12.0904         0.0000           -27.5541             0.0000           -27.5541          -105.8422             0.0000          -105.8422
 12.1004         0.0000           -27.5543             0.0000           -27.5543          -105.8486             0.0000          -105.8486
 12.1104         0.0000           -27.5728             0.0000           -27.5728          -105.8704             0.0000          -105.8704
 12.1204         0.0000           -27.5666             0.0000           -27.5666          -105.8459             0.0000          -105.8459
 12.1304         0.0000           -27.5656             0.0000           -27.5656          -105.8544             0.0000          -105.8544
 12.1404         0.0000           -27.5584             0.0000           -27.5584          -105.8712             0.0000          -105.8712
 12.1504         0.0000           -27.5246             0.0000           -27.5246          -105.8914             0.0000          -105.8914
 12.1605         0.0000           -27.5241             0.0000           -27.5241          -105.9100             0.0000          -105.9100
 12.1705         0.0000           -27.5278             0.0000           -27.5278          -105.8955             0.0000          -105.8955
 12.1805         0.0000           -27.5301             0.0000           -27.5301          -105.9450             0.0000          -105.9450
 12.1905         0.0000           -27.5153             0.0000           -27.5153          -105.9346             0.0000          -105.9346
 12.2005         0.0000           -27.5029             0.0000           -27.5029          -105.9393             0.0000          -105.9393
 12.2105         0.0000           -27.5034             0.0000           -27.5034          -105.9272             0.0000          -105.9272
 12.2205         0.0000           -27.5081             0.0000           -27.5081          -105.9145             0.0000          -105.9145
 12.2305         0.0000           -27.5375             0.0000           -27.5375          -105.9316             0.0000          -105.9316
 12.2405         0.0000           -27.5510             0.0000           -27.5510          -105.9066             0.0000          -105.9066
 12.2505         0.0000           -27.5380             0.0000           -27.5380          -105.8852             0.0000          -105.8852
 12.2605         0.0000           -27.5392             0.0000           -27.5392          -105.8534             0.0000          -105.8534
 12.2705         0.0000           -27.5343             0.0000           -27.5343          -105.8847             0.0000          -105.8847
 12.2805         0.0000           -27.5307             0.0000           -27.5307          -105.8751             0.0000          -105.8751
 12.2905         0.0000           -27.5147             0.0000           -27.5147          -105.8781             0.0000          -105.8781
 12.3005         0.0000           -27.5508             0.0000           -27.5508          -105.8893             0.0000          -105.8893
 12.3105         0.0000           -27.5433             0.0000           -27.5433          -105.8847             0.0000          -105.8847
 12.3205         0.0000           -27.5349             0.0000           -27.5349          -105.9010             0.0000          -105.9010
 12.3305         0.0000           -27.5021             0.0000           -27.5021          -105.8853             0.0000          -105.8853
 12.3405         0.0000           -27.4983             0.0000           -27.4983          -105.8779             0.0000          -105.8779
 12.3505         0.0000           -27.5084             0.0000           -27.5084          -105.9170             0.0000          -105.9170
 12.3605         0.0000           -27.4848             0.0000           -27.4848          -105.8938             0.0000          -105.8938
 12.3705         0.0000           -27.4866             0.0000           -27.4866          -105.8722             0.0000          -105.8722
 12.3805         0.0000           -27.4844             0.0000           -27.4844          -105.8604             0.0000          -105.8604
 12.3905         0.0000           -27.4706             0.0000           -27.4706          -105.8661             0.0000          -105.8661
 12.4005         0.0000           -27.4891             0.0000           -27.4891          -105.8752             0.0000          -105.8752
 12.4105         0.0000           -27.4932             0.0000           -27.4932          -105.8707             0.0000          -105.8707
 12.4205         0.0000           -27.5131             0.0000           -27.5131          -105.8747             0.0000          -105.8747
 12.4305         0.0000           -27.4780             0.0000           -27.4780          -105.8706             0.0000          -105.8706
 12.4405         0.0000           -27.5000             0.0000           -27.5000          -105.8688             0.0000          -105.8688
 12.4505         0.0000           -27.4948             0.0000           -27.4948          -105.8525             0.0000          -105.8525
 12.4605         0.0000           -27.5127             0.0000           -27.5127          -105.8740             0.0000          -105.8740
 12.4705         0.0000           -27.5066             0.0000           -27.5066          -105.8983             0.0000          -105.8983
 12.4805         0.0000           -27.5194             0.0000           -27.5194          -105.9007             0.0000          -105.9007
 12.4905         0.0000           -27.4973             0.0000           -27.4973          -105.8975             0.0000          -105.8975
 12.5005         0.0000           -27.5124             0.0000           -27.5124          -105.9480             0.0000          -105.9480
 12.5105         0.0000           -27.4822             0.0000           -27.4822          -105.9247             0.0000          -105.9247
 12.5205         0.0000           -27.4845             0.0000           -27.4845          -105.9240             0.0000          -105.9240
 12.5305         0.0000           -27.4762             0.0000           -27.4762          -105.9373             0.0000          -105.9373
 12.5405         0.0000           -27.4866             0.0000           -27.4866          -105.9871             0.0000          -105.9871
 12.5505         0.0000           -27.5129             0.0000           -27.5129          -105.9977             0.0000          -105.9977
